league,season,team1,team2,winner,game_score
NBA,1983,Portland Trail Blazers,Seattle SuperSonics,Portland Trail Blazers,2:0
NBA,1984,Atlanta Hawks,Milwaukee Bucks,Milwaukee Bucks,2:3
NBA,1984,Boston Celtics,Los Angeles Lakers,Boston Celtics,4:3
NBA,1984,Boston Celtics,Milwaukee Bucks,Boston Celtics,4:1
NBA,1984,Boston Celtics,New York Knicks,Boston Celtics,4:3
NBA,1984,Boston Celtics,Washington Bullets,Boston Celtics,3:1
NBA,1984,Dallas Mavericks,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,1984,Dallas Mavericks,Seattle SuperSonics,Dallas Mavericks,3:2
NBA,1984,Denver Nuggets,Utah Jazz,Utah Jazz,2:3
NBA,1984,Detroit Pistons,New York Knicks,New York Knicks,2:3
NBA,1984,Kansas City Kings,Los Angeles Lakers,Los Angeles Lakers,0:3
NBA,1984,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,4:2
NBA,1984,Milwaukee Bucks,New Jersey Nets,Milwaukee Bucks,4:2
NBA,1984,New Jersey Nets,Philadelphia 76ers,New Jersey Nets,3:2
NBA,1984,Phoenix Suns,Portland Trail Blazers,Phoenix Suns,3:2
NBA,1984,Phoenix Suns,Utah Jazz,Phoenix Suns,4:2
NBA,1985,Boston Celtics,Cleveland Cavaliers,Boston Celtics,3:1
NBA,1985,Boston Celtics,Detroit Pistons,Boston Celtics,4:2
NBA,1985,Boston Celtics,Los Angeles Lakers,Los Angeles Lakers,2:4
NBA,1985,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:1
